Celebrity,Partner
Bette Davis,Lewis Riley
Bette Davis,Gilbert Roland
Bette Davis,Glenn Ford
Bette Davis,Eddie Fisher
Bette Davis,Spencer Tracy
Bette Davis,Robert Foulk
B.B. King,Sue Hall
B.B. King,Martha Denton
B.B. King,Betty Kelly
B.J. Ryan,Candace Ryan
B.J. Thomas,Gloria
Balthazar Getty,Sienna Miller
Balthazar Getty,Rosetta Millington
Balthazar Getty,Lala Sloatman
Balthazar Getty,Drew Barrymore
Balthazar Getty,Milla Jovovich
Barbara Bach,Ringo Starr
Barbara Bach,Roberto A. Quezada
Barbara Bach,Augusto Gregorini
Barbara Barrie,Jay Malcolm Harnick
Barbara Bates,William Reed
Barbara Bates,John Payne
Barbara Bates,Danny Kaye
Barbara Bates,Cecil Coan
Barbara Bedford,Terry Spencer
Barbara Bedford,Alan Roscoe
Barbara Bedford,Irvin Willat
Barbara Bel Geddes,Windsor Lewis
Barbara Bel Geddes,Carl Schreuer
Barbara Billingsley,William Mortensen
Barbara Billingsley,Roy Kellino
Barbara Billingsley,Glenn Billingsley
Barbara Crampton,Robert Bleckman
Barbara Crampton,Kristoffer Tabori
Barbara Crampton,David Boyd
Barbara Darrow,Tom Tennenbaum
Barbara Darrow,Spencer Tracy
Barbara Darrow,Byron Palmer
Barbara Darrow,Robert Wagner
Barbara Darrow,Scott Brady
Barbara Flynn,Jeremy George Taylor
Barbara Lass,Karlheinz BÌ_hm
Barbara Lass,Roman Polanski
Barbara Leigh,Joe Lewis
Barbara Leigh,Steve McQueen
Barbara Leigh,Elvis Presley
Barbara Leigh,James Aubrey
Barbara Leigh,Gene Shacove
Barbara Leigh,Haynes
Barbara Leigh,Anjelica Lewis
Barbara Loden,Elia Kazan
Barbara Lord,Robert Powell
BarBara Luna,Andrew Stevens
BarBara Luna,Dennis Cole
BarBara Luna,Doug McClure
BarBara Luna,Sam J. Jones
Barbara Mandrell,Ken Dudney
Barbara Merrill,Jeremy Hyman
Barbara Orbison,Pierce Brosnan
Barbara Orbison,Roy Orbison
Barbara Payton,George Provas
Barbara Payton,Lana Turner
Barbara Payton,Ava Gardner
Barbara Payton,Franchot Tone
Barbara Payton,Tom Conway
Barbara Payton,Guy Madison
Barbara Payton,Gregory Peck
Barbara Payton,Tom Neal
Barbara Payton,Steve Cochran
Barbara Payton,Gary Cooper
Barbara Payton,John Ireland
Barbara Payton,Jerry Bialac
Barbara Payton,Robert Lowery
Barbara Payton,Howard Hughes
Barbara Payton,Bob Hope
Barbara Payton,Greg Bautzer
Barbara Payton,Mickey Cohen
Barbara Payton,John Payton
Barbara Payton,James Cagney
Barbara Payton,William Hodge
Barbara Payton,Ted Briskin
Barbara Payton,Buddy Anderson
Barbara Payton,A.C. Lyles
Barbara Payton,Woody Strode
Barbara Payton,George Raft
Barbara Payton,Bob Neal
Barbara Payton,Mickey Knox
Barbara Rush,Jim Gruzalski
Barbara Rush,Richard Burton
Barbara Rush,Budd Schulberg
Barbara Rush,Warren Cowan
Barbara Rush,Ben Gazzara
Barbara Rush,Conrad Hilton
Barbara Rush,Michael Wilding
Barbara Rush,Clifford Odets
Barbara Rush,Bob Merrill
Barbara Rush,George Nader
Barbara Rush,Ross Hunter
Barbara Rush,Jeffrey Hunter
Barbara Stanwyck,James Cagney
Barbara Stanwyck,Glenn Ford
Barbara Stanwyck,Anthony Quinn
Barbara Stanwyck,Farley Granger
Barbara Stanwyck,Robert Wagner
Barbara Stanwyck,Jean-Pierre Aumont
Barbara Stanwyck,Cesar Romero
Barbara Stanwyck,George Nader
Barbara Stanwyck,Humphrey Bogart
Barbara Stanwyck,Edward G. Robinson
Barbara Stanwyck,Charles Boyer
Barbara Stanwyck,Cary Grant
Barbara Stanwyck,Tyrone Power
Barbara Stanwyck,Henry Fonda
Barbara Stanwyck,Gary Cooper
Barbara Stanwyck,Douglas Fairbanks Jr.
Barbara Stanwyck,William Holden
Barbara Stanwyck,Howard Hughes
Barbara Stanwyck,George Raft
Barbara Stanwyck,James Stewart
Barbara Stanwyck,Fredric March
Barbara Stanwyck,Robert Taylor
Barbara Stanwyck,Joan Crawford
Barbara Stanwyck,Kirk Douglas
Barbara Stanwyck,John Wayne
Barbara Stanwyck,Frank Capra
